PO_Number,LineItem_ID,Part_Number,Description,Quantity,Unit_Price,Due_Date,Status
103878,1,N02477G03,N02477G03 [GUIDE SHAFT],2,1550.00,2022-04-12,Completed
38636,1,623T9801,623T9801 [PLUNGER ROD DC350CL-3] ,2,950.00,2018-03-09,Completed
71578,1,Y021407,Y021407 [BUSHING],2,708.00,2020-01-15,Completed
133039,1,647W5604,647W5604 [SLIDE PLATE DC250JMS],2,300.00,2024-03-15,Completed
145811,1,Y027627,Y027627 [SLIDE PLATE FOR DC2500CS2],3,1250.00,2024-12-20,Completed
24545,1,N066877,N066877 [INJECTION BUSHING] N066877 [INJECTION BUSHING] ,2,2145.00,2017-06-08,Completed
66010,1,4T122501,4T122501 [RIGHT SCREW BOLT],2,45.00,2019-09-23,Completed
97566,1,624T0004,624T0004 [SPACER],1,185.00,2021-10-19,Completed
77486,1,Y160762,Y160762 [PLATE],1,695.00,2020-05-11,Completed
77486,2,492V7801-10.39,492V7801-10.39 [SPACER],1,75.00,2020-05-11,Completed
77486,3,492V7801-10.42,492V7801-10.42 [SPACER],1,75.00,2020-05-11,Completed
47545,1,Y058254,Y058254 [SPACER],7,85.00,2018-09-11,Completed
47545,2,Y155816,Y155816 [SPACER],1,95.00,2018-09-11,Completed
47545,3,Y059901,Y059901 [SPACER],2,110.00,2018-09-11,Completed
47545,4,Y058256,Y058256 [SPACER],2,255.00,2018-09-11,Completed
47545,5,Y058257,Y058257 [BRACKET],2,75.00,2018-09-11,Completed
141646,1,L500198,L500198 [SHUT OFF NOZZLE BODY M80 X M80],1,1100.00,2024-09-23,Completed
141646,2,S536300,S536300 [FLANGE FOR EJE. PLATE ISG500 ISG610],1,440.00,2024-09-23,Completed
62935,1,Y157511,Y157511 [EJECTOR ROD],4,875.00,2019-07-11,Completed
62935,2,9X812901,9X812901 [FLANGE-A],1,650.00,2019-07-11,Completed
52606,1,Y049547,Y049547 [CASE],1,275.00,2018-12-06,Completed
140570,1,Y006291,Y006291 [SPROCKET],1,425.00,2024-08-30,Completed
140570,2,Y006299,Y006299 [CASE GUIDE],1,450.00,2024-08-30,Completed
146673,1,611V6701,611V6701 [ELECTRODE PROBE Y102648],4,85.00,2024-12-31,Completed
27266,1,N114335-2,N114335-2 [RAIL],2,1550.00,2017-08-18,Completed
27266,2,Y167639-2,Y167639-2 [SHAFT] ,1,1375.00,2017-08-18,Completed
44925,1,4T122502,4T122502 [LEFT SCREW BOLT],5,42.50,2018-07-18,Completed
64439,1,611T1501,611T1501 [BUSHING],2,1100.00,2019-08-16,Completed
103042,1,647S0201,647S0201[SHAFT],2,240.00,2022-03-21,Completed
103042,3,647S0401,647S0401 [SHAFT SPACER],2,25.00,2022-03-21,Completed
103042,4,637R3301,637R3301 [SPROCKET],2,110.00,2022-03-21,Completed
103042,5,647S0601,647S0601 [SPACER],2,28.00,2022-03-21,Completed
103042,6,4T123801,4T123801 [LEFT SCREW NUT],8,7.50,2022-03-21,Completed
103042,7,647S0602,647S0602[SPACER],2,30.00,2022-03-21,Completed
103042,8,647S0603,647S0603[SPACER],4,22.00,2022-03-21,Completed
78819,1,6S331301,6S331301 [GUIDE SHAFT],1,725.00,2020-07-07,Completed
67911,1,8x30BS,8x30BS [SCREWS],6,5.00,2019-09-23,Completed
119217,1,9X972302,9X972302[SLEEVE FOR LOAD SENSOR],2,350.00,2023-05-18,Completed
119217,2,9X972202,9X972202 [ SLEEVE ],2,250.00,2023-05-18,Completed
92556,1,Y006291,Y006291 [SPROCKET],1,375.00,2021-06-10,Completed
111139,1,N044000,N044000 [HOOK],1,1455.00,2022-10-21,Completed
137698,1,Y006291,Y006291 [SPROCKET],1,395.00,2024-06-21,Completed
137698,2,Y006298,Y006298 [BEACASE],2,325.00,2024-06-21,Completed
137698,3,Y006299,Y006299 [CASE GUIDE],1,450.00,2024-06-21,Completed
137698,4,Y006502,Y006502 [SPACER],1,120.00,2024-06-21,Completed
137698,5,Y090016,Y090016 [GUIDE],2,460.00,2024-06-21,Completed
67905,1,688V8001,688V8001 [FLANGE],1,955.00,2019-10-21,Completed
134391,1,438S5702,438S5702[SPACER],1,295.00,2024-04-19,Completed
134391,2,Y006966,Y006966 [SPACER],1,1025.00,2024-04-19,Completed
143858,1,Y055692,Y055692 [PLATE],1,215.00,2024-11-15,Completed
111878,1,4T123401,4T123401 [LADLE PIN],1,60.00,2022-11-10,Completed
145597,1,685R1101,685R1101 [SUPPORT] ,7,160.00,2024-12-20,Completed
38226,1,4T122501,4T122501 [RIGHT SCREW BOLT],4,45.00,2018-03-19,Completed
38226,2,4T122502,4T122502 [LEFT SCREW BOLT],4,45.00,2018-03-19,Completed
32045,1,6S331301,6S331301 [GUIDE SHAFT] ,1,725.00,2017-11-13,Completed
71168,1,Y040402,Y040402 [LINER BRONZE DC350J],2,1100.00,2019-12-31,Completed
26756,1,6S331802,6S331802 [SPROCKET],4,285.00,2017-08-02,Completed
26756,2,6S331801,6S331801 [SPROCKET FOR DTO650~800L],5,275.00,2017-08-02,Completed
26756,3,6S331501,6S331501 [BEARING STOPPER],5,175.00,2017-08-02,Completed
155960,1,S417800,S417800 [TIE BAR NUT FOR ISF ISGN 250],1,775.00,2025-07-30,Completed
115175,1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],4,390.00,2023-02-20,Completed
41256,1,611V6701,611V6701 [ELECTRODE PROBE],5,81.75,2018-04-23,Completed
41256,2,685R1001,685R1001 [ELECTRODE ROD ],10,57.00,2018-04-23,Completed
87365,1,388W45-12,388W45-12 [EJECTOR ROD SOLID TYPE FOR DC3500CS],4,1475.00,2021-02-09,Completed
48266,1,9X457904,9X457904 [TIE BAR BUSHING],8,775.00,2018-09-04,Completed
148514,1,4T123401,4T123401 [LADLE PIN],1,65.00,2025-03-07,Completed
148514,2,N072875,N072875 [LADLE ARM(SPECIAL FOR AHRESTY)],1,2675.00,2025-03-07,Completed
148514,3,Y142052,Y142052 [CYLINDER TUBE],1,985.00,2025-03-07,Completed
148514,4,Y152202,Y152202 [SLIDE PLATE DC350R- M],4,315.00,2025-03-07,Completed
102435,1,N069222,N069222 [EJECTOR ROD],1,2250.00,2022-01-26,Completed
101128,1,637R4101,637R4101 [BUSHING],5,275.00,2022-01-31,Completed
101128,2,637R3501,637R3501 [SPROCKET],5,110.00,2022-01-31,Completed
149636,1,L698601,L698601 [TIE BAR NUT ISGT 950],3,2175.00,2025-04-30,Completed
152570,1,S417800,S417800 [TIE BAR NUT FOR ISF ISGN 250],1,775.00,2025-05-23,Completed
61810,1,6W516701,6W516701 [SHAFT],2,395.00,2019-06-14,Completed
61810,2,6W516801,6W516801 [SHAFT],3,345.00,2019-06-14,Completed
61810,3,416S1701,416S1701 [SHAFT],3,225.00,2019-06-14,Completed
61810,4,6W516901,6W516901 [BUSHING],3,125.00,2019-06-21,Completed
104905,1,N066875,N066875[ BUSHING],2,2245.00,2022-05-09,Completed
27676,1,N064799,N064799 [SHAFT],2,775.00,2017-08-16,Completed
121575,1,S190602,S190602 [EJECTOR GUIDE BAR ISG610],2,395.00,2023-07-10,Completed
53849,1,N02912G01,N02912G01 [COOLING PIPE ASSEMBLY],2,500.00,2018-12-27,Completed
125061,1,699E1119,699E1119 [GUIDE PIN 667MM O.A.L. EC1450SXII],4,250.00,2023-09-27,Completed
46288,1,Y069318,Y069318 [PLUNGER ROD],2,565.00,2018-08-15,Completed
46288,2,9W4210G04,9W4210G04 [COOLING PIPE ASSY],2,405.00,2018-08-15,Completed
40809,1,640R4701,640R4701 [WEDGE] ,1,500.00,2018-05-14,Completed
84693,1,611V6701,611V6701 [SAME AS Y102648 ELECTRODE PROBE],2,81.75,2020-12-02,Completed
127886,1,TMN0026,TMN0026 [LINK PIN 1 FOR EC310 390 SX SXII III ],1,1195.00,2023-11-22,Completed
119968,1,S182901,S182901 [TIE BAR NUT FOR ISE250],2,775.00,2023-05-15,Completed
119968,2,S536628,S536628 [SPLIT COLLAR FOR GS GT I59 INJECTION CYLINDERS],2,300.00,2023-05-15,Completed
119968,3,S536628,S536628 [SPLIT COLLAR FOR GS GT I59 INJECTION CYLINDERS],2,300.00,2023-05-15,Completed
37755,1,4T123401,4T123401 [LADLE PIN] ,2,63.00,2018-03-02,Completed
32535,1,Y157511,Y157511 [EJECTOR ROD] ,2,875.00,2017-11-24,Completed
85598,1,9T834801,9T834801 [EJECTOR PLATE C],1,3800.00,2020-12-08,Completed
85598,2,207X9301,207X9301 EJECTOR PLATE D],1,4250.00,2020-12-08,Completed
130451,1,S529900,S529900 [BRACKET FOR EJECTOR GS GT],1,275.00,2024-02-03,Completed
130451,2,S657138,S657138 [IDLER SHAFT FOR EC240 EJECTOR],1,250.00,2024-01-25,Completed
130451,3,TML0038,TML0038 [LINK PIN 2 FOR EC200SX],1,345.00,2024-01-25,Completed
130451,4,TML0026,TML0026 [LINK PIN 1 FOR EC200SX SXII],1,655.00,2024-01-25,Completed
115835,1,603S8303,603S8303 [JOINT FOR SPRAYER DC500JMS],1,320.00,2023-03-10,Completed
100586,1,Y069318,Y069318 [PLUNGER ROD],3,725.00,2022-01-11,Completed
100586,2,9W4210G04,9W4210G04 [COOLING PIPE ASSY],2,405.00,2022-01-11,Completed
84692,1,N013391,N013391 [SHAFT FOR POUR ASS'Y],5,500.00,2020-12-02,Completed
61636,1,Y095821,Y095821 [SHAFT],1,693.00,2019-06-19,Completed
53848,1,10X25BS,10X25BS [BRASS BOLTS FOR LINER 9S562501],104,5.00,2018-12-20,Completed
117993,1,H303744,H303744 [EJECTOR PLATE C],1,3235.00,2023-04-27,Completed
61811,1,655S3601,655S3601 [BLOCK],1,370.00,2019-06-21,Completed
48529,1,Y047645,Y047645 [SPACER],7,88.00,2018-09-21,Completed
147626,1,478R7201,478R7201[BUSHING],2,675.00,2025-02-14,Completed
134810,1,LMR0404,LMR0404 [LEVER TRIGGER],2,375.00,2024-04-10,Completed
134810,2,TMR0017,TMR0017 [LEVER],2,165.00,2024-04-10,Completed
113277,1,4T122502,4T122502 [LEFT SCREW BOLT],6,45.00,2022-12-16,Completed
94318,1,614W8001,614W8001 [SENSOR HOLDER FOR DHS-2 & DHS-T],5,50.00,2021-07-30,Completed
153647,1,S978457,S978457 [PUMP FLANGE F/IPS NEW TYPE PUMP ISGSW GT IS- DG/DF],1,525.00,2025-06-13,Completed
153647,2,S978456,S978456 [PUMP FLANGE F/IPS NEW TYPE PUMP ISGSW GT IS- DG],2,525.00,2025-06-13,Completed
42986,1,Y152202,Y152202[SLIDE PLATE],2,258.00,2018-06-08,Completed
128593,1,499S2201,499S2201 [CLAMP NUT] ,1,1750.00,2023-11-15,Completed
105830,1,9X976001,9X976001 [ TURN BUCKLE DAL500~800SVSH-M ],1,225.00,2022-06-01,Completed
105830,2,9X976002,9X976002 [ TURN BUCKLE DAL500~800SVSH-M ],1,225.00,2022-06-01,Completed
155961,1,647W6503,647W6503 [SLIDE PLATE ],4,425.00,2025-07-02,Completed
155961,2,N048865,N048865 [INJECTION BUSHING],2,975.00,2025-07-02,Completed
71169,1,625W1702,625W1702 [LINK PIN BUSHING],2,395.00,2020-01-07,Completed
71169,2,8X20BS,8X20BS [BRASS SCREWS],16,2.75,2020-01-07,Completed
139105,1,TMF0443,TMF0443 [SPACER FOR INCREASING NOZZLE FORCE SX SXII U22 -U34,2,85.00,2024-07-26,Completed
71627,1,647W6503,647W6503 [SLIDE PLATE ],4,390.00,2020-01-09,Completed
113908,1,S536601,S536601 [ROD 2 F/ LOCK NUT CYLINDER ISGT720],2,305.00,2023-01-03,Completed
113908,2,S536600,S536600 [ROD 1 F/ LOCK NUT CYLINDER ISGT720],2,395.00,2023-01-03,Completed
113908,3,S536602,S536602 [ROD 3 F/ LOCK NUT CYLINDER ISGT720],2,285.00,2023-01-03,Completed
23175,1,9X818207,9X818207 [TURN BUCKLE],1,410.00,2017-06-08,Completed
23175,2,9X818210,9X818210 [TURN BUCKLE],1,435.00,2017-06-08,Completed
23175,3,Y006501,Y006501 [SPACER],1,74.00,2017-06-08,Completed
23175,4,4T122502,4T122502 [LEFT SCREW BOLT],5,42.50,2017-06-08,Completed
27475,1,9W331104,9W331104 [GUIDE SHAFT DBS500~800MS],4,2200.00,2017-08-14,Completed
140377,1,L290128,[FLANGE NUT FOR BOOST CYLINDER M80 IS1300DE/F - IS1800DF],1,360.00,2024-08-16,Completed
113049,1,Y058255,Y058255 [NUT FOR GUIDE BAR],5,785.00,2022-12-09,Completed
104535,1,695R1601,695R1601 [LOCK NUT],2,47.50,2022-05-02,Completed
137699,1,Y006501,Y006501 [SPACER],1,90.00,2024-05-31,Completed
111138,1,N090092,N090092 [ EJECTOR ROD],2,1525.00,2022-10-21,Completed
119216,1,612R6205,612R6205 [SENSOR BAR],1,325.00,2023-05-18,Completed
119216,2,613T0503,613T0503 [SLEEVE],1,225.00,2023-05-18,Completed
119216,3,Y167799,Y167799 [SENSOR COVER],1,335.00,2023-05-18,Completed
100009,1,Y037684,Y037684 [LINK C],1,970.00,2021-12-20,Completed
118646,1,N090092,N090092 [ EJECTOR ROD],1,1575.00,2023-05-05,Completed
53445,1,609T1001,609T1001 [LINK PIN BUSHING FOR DC350CL-1] ,1,495.00,2019-01-10,Completed
41055,1,623T9801,623T9801 [PLUNGER ROD DC350CL-3] ,2,950.00,2018-05-01,Completed
53451,1,Y003999,Y003999 [SPROCKET],6,125.00,2018-12-27,Completed
102795,1,N02477G03,N02477G03 [GUIDE SHAFT],4,1550.00,2022-03-14,Completed
102795,2,Y028067,Y028067 [STOPPER BRACKET],1,250.00,2022-03-14,Completed
102795,3,Y028068,Y028068 [STOPPER DBS350MSH2],1,250.00,2022-03-14,Completed
39065,1,648T7301,648T7301 [SPRING GUIDE FOR DHS-T] ,20,47.50,2018-03-19,Completed
86495,1,9W4210G04,9W4210G04 [COOLING PIPE ASSY],3,405.00,2021-01-19,Completed
120508,1,TML0108,TML0108 [BARREL MOUNTING FLANGE EC 100 SX I4],1,570.00,2023-06-15,Completed
120508,2,S529900,S529900 [BRACKET FOR EJECTOR GS GT],1,275.00,2023-06-15,Completed
27267,1,Y085179-1,Y085179-1[SHAFT],1,1235.00,2017-08-18,Completed
27267,2,N061957-1,N061957-1 [RAIL] ,2,1395.00,2017-08-18,Completed
41109,1,Y006291,Y006291 [SPROCKET],4,365.00,2018-05-09,Completed
54276,1,9T840201,9T840201 [BRONZE LINER DC3500CS],2,2780.00,2019-02-07,Completed
140571,1,Y006501,Y006501 [SPACER],1,90.00,2024-08-09,Completed
52607,1,Y015907,Y015907 [CASE GUIDE],1,425.00,2018-12-13,Completed
121825,1,S536680,S536680 [CLAMP WEAR STRIP ISGT720 3523MM OAL],4,475.00,2023-07-24,Completed
153525,1,S536300,S536300 [FLANGE FOR EJE. PLATE ISG500 ISG610],1,440.00,2025-06-13,Completed
148105,1,S535778,[CLAMP WEAR STRIP ISG310 ISGS310N 1145MM OAL],2,195.00,2025-02-21,Completed
76955,1,8R637601,8R637601 [SPACER],1,467.50,2020-05-05,Completed
76955,2,8R637602,8R637602 [SPACER],3,484.00,2020-05-05,Completed
76955,3,8R637603,8R637603 [SPACER],1,522.50,2020-05-05,Completed
76955,4,8R637604,8R637604 [SPACER],2,550.00,2020-05-05,Completed
76955,5,8R637605,8R637605 [SPACER],1,572.00,2020-05-05,Completed
76955,6,8R637701,8R637701 [SPACER],2,654.50,2020-05-05,Completed
76955,7,8R637702,8R637702 [SPACER],2,605.00,2020-05-05,Completed
76955,8,8R637703,8R637703 [SPACER],1,687.50,2020-05-05,Completed
76955,9,8R637704,8R637704 [SPACER],2,698.50,2020-05-05,Completed
76955,10,8R637705,8R637705 [SPACER],5,715.00,2020-05-05,Completed
76955,11,Y195905,Y195905 [SPACER],4,753.50,2020-05-05,Completed
76955,12,M20X220,M20X220 [SPECIAL BOLT],16,55.00,2020-05-05,Completed
76955,13,M20X240,M20X240 [BOLT],8,60.50,2020-05-05,Completed
96490,1,609T1002,609T1002 [LINK PIN BUSHING],4,445.00,2021-09-27,Completed
62277,1,H323581,H323581 [INJECTION BUSHING],1,1875.00,2019-06-27,Completed
29706,1,Y060388,Y060388 [SLIDE BAR SAFETY RATCHET DC2500CS],1,515.00,2017-10-20,Completed
149794,1,N116120,N116120 [SEAL CASE],1,865.00,2025-04-04,Completed
71626,1,N060285,N060285 [SHAFT FOR SAFETY HOOK ASSY DC800RM],4,695.00,2020-01-16,Completed
72716,1,Y157511,Y157511 [EJECTOR ROD],4,875.00,2020-02-10,Completed
112948,1,647W6503,647W6503 [SLIDE PLATE ],4,425.00,2022-12-12,Completed
145810,1,388W45-12,388W45-12 [EJECTOR ROD SOLID TYPE FOR DC3500CS],2,1475.00,2024-12-20,Completed
145810,2,Y153922,Y153922[SLIDE PLATE],2,1250.00,2024-12-30,Completed
58398,1,N073299,N073299 [POPPET],1,1825.00,2019-04-16,Completed
58398,2,H326958,H326958 [SEAT],1,2750.00,2019-04-16,Completed
58398,4,N073297,N073297 [PISTON ROD DC2250CS2],1,1225.00,2019-04-16,Completed
58398,5,N073298,N073298 [GUIDE DC2250CS2],1,1150.00,2019-04-16,Completed
139529,1,637R3801,637R3801 [LEFT TURN BUCKLE],3,60.00,2024-08-02,Completed
139529,2,637R3501,637R3501 [SPROCKET],4,115.00,2024-08-02,Completed
40015,1,9X3526G01,9X3526G01 [LADLE ARM (3-2)] ,1,1325.00,2018-04-05,Completed
132497,1,Y006969,Y006969 [SHAFT FOR NUT CLAMP],1,785.00,2024-03-12,Completed
144267,1,H335891,H335891 [EJECTOR PLATE C],1,6565.00,2024-12-13,Completed
144267,2,H335892,H335892 [EJECTOR PLATE D],1,6565.00,2024-12-13,Completed
56105,1,Y026064,Y026064[GUIDE SHAFT],2,75.00,2019-03-13,Completed
106726,1,388W45-12,388W45-12 [EJECTOR ROD SOLID TYPE FOR DC3500CS],1,1175.00,2022-06-21,Completed
106726,2,388W45-11,388W45-11 [EJECTOR ROD WIRE TYPE FOR DC3500CS],1,1475.00,2022-06-21,Completed
34970,1,N017860,N017860[COVER],1,275.00,2018-01-19,Completed
34970,2,N017861,N017861[COVER],1,275.00,2018-01-19,Completed
139298,1,N10017G01,N10017G01 [COLLING PIPE 715mm OAL],1,420.00,2024-08-02,Completed
139298,2,Y015648,Y015648 [FITTING],1,295.00,2024-08-02,Completed
139298,3,Y076339,Y076339 [PLUNGER ROD L=505MM],1,825.00,2024-08-02,Completed
49019,1,Y144387,Y144387 [COVER - ROUNDED],2,122.00,2018-10-05,Completed
113317,1,H306463,H306463 [EJECTOR PLATE C],1,5289.00,2022-12-23,Completed
115766,1,680V4801,680V4801 [ DOG ],2,525.00,2023-03-03,Completed
115766,2,N105154,N105154 [ DOG BRACKET ],2,575.00,2023-03-03,Completed
34966,1,N02477G03,N02477G03 [GUIDE SHAFT] ,1,1550.00,2018-02-05,Completed
126386,1,9X976002,9X976002 [ TURN BUCKLE DAL500~800SVSH-M ],1,250.00,2023-10-25,Completed
126386,2,9X976001,9X976001 [ TURN BUCKLE DAL500~800SVSH-M ],1,250.00,2023-10-25,Completed
144265,1,408S3406,408S3406 [BUSHING FOR EJECTOR DC2500CS-2],10,310.00,2024-11-22,Completed
144265,2,Y029536,Y029536 [KEY],2,315.00,2024-11-22,Completed
144265,3,Y058255,Y058255 [NUT FOR GUIDE BAR],4,695.00,2024-11-22,Completed
144265,4,N072802,N072802 [EJECTOR ROD],4,825.00,2024-11-22,Completed
144265,5,492V7804,492V7804 [COLLAR],4,95.00,2024-11-22,Completed
144265,6,Y058254,Y058254 [SPACER],8,85.00,2024-11-22,Completed
144265,7,Y059901,Y059901 [SPACER],2,110.00,2024-11-22,Completed
144265,8,Y059902,Y059902 [SUPPORTING BLOCK],1,275.00,2024-11-22,Completed
40017,1,Y006501,Y006501 [SPACER] ,1,74.00,2018-04-19,Completed
54062,1,648T7301,648T7301 [SPRING GUIDE FOR DHS-T] 648T7301 [SPRING GUIDE FOR DHS-T] ,7,47.50,2018-12-21,Completed
140765,1,N017856,N017856 [LINK],1,825.00,2024-09-06,Completed
140765,2,N017859,N017859 [LINK],1,825.00,2024-09-06,Completed
140765,3,N070137,N070137 [COVER],1,475.00,2024-09-06,Completed
140765,4,N070138,N070138 [COVER],1,475.00,2024-09-06,Completed
140765,5,Y026060,Y026060[SHAFT],2,250.00,2024-09-06,Completed
140765,6,Y026062,Y026062 [SHAFT],1,250.00,2024-09-06,Completed
140765,7,Y026066,Y026066 [PIN],1,175.00,2024-09-06,Completed
56107,1,N017860,N017860[COVER],1,275.00,2019-03-06,Completed
98468,1,611V6701,611V6701 [ELECTRODE PROBE],5,85.00,2021-11-11,Completed
131605,1,TML0088,TML0088 [SAFETY GATE ROLLER EC55 -250SX BOTTOM FLAT SUR],10,50.00,2024-02-23,Completed
64638,1,Y028067,Y028067 [STOPPER BRACKET],2,250.00,2019-08-14,Completed
64638,2,414S3203,414S3203 [SHAFT FOR DTO650~800L],1,305.00,2019-08-14,Completed
75735,1,Y028955,Y028955 [SHAFT],1,1065.00,2020-04-24,Completed
81878,1,Y027627,Y027627 [SLIDE PLATE FOR DC2500CS2],2,1250.00,2020-10-02,Completed
84096,1,Y153922,Y153922[SLIDE PLATE],2,1175.00,2020-12-15,Completed
126345,1,TMN0026,TMN0026 [LINK PIN 1 FOR EC310 390 SX SXII III ],5,1095.00,2023-10-16,Completed
126345,2,TMR0009,TMR0009 [LINK PIN 2 FOR EC390SX II III ],2,595.00,2023-10-16,Completed
26345,1,655S3602,655S3602 [BLOCK] SOONER,1,345.00,2017-08-08,Completed
82395,1,N052403,N052403 [INJECTION BUSHING DC250JS],2,1095.00,2020-10-09,Completed
122889,1,607F4001,607F4001 [EJECTOR PIN/ STOPPER ECSX 248MM OAL HEX M16],2,175.00,2023-08-10,Completed
153916,1,H323582,H323582 [INJECTION BUSHING DC650JMS],1,1235.00,2025-06-20,Completed
66007,1,9X541001,9X541001 [KEY],2,75.00,2019-09-23,Completed
66007,2,622V9601,622V9601[SPACER PLATE],2,100.00,2019-09-23,Completed
66007,3,9W306202,9W306202 [LINK PIN],2,625.00,2019-09-23,Completed
124546,1,L946652,L946652 [EXTENSION CLEVIS FOR ISG ISGT 81A ] [EXTENSION ROD F/ CARR. CYLINDER IS 81B 300MM M42 X 2],1,550.00,2023-09-13,Completed
124546,2,S530728,S530728 [EXTENSION ROD F/ CARR. CYLINDER IS 81B 300MM M42],1,500.00,2023-09-13,Completed
60476,1,695R1601,695R1601 [LOCK NUT],2,47.50,2019-05-22,Completed
92838,1,6S331801,6S331801 [SPROCKET FOR DTO650~800L],3,275.00,2021-06-22,Completed
77485,1,609T6601,609T6601 [SCREWED BUSHING],1,525.00,2020-06-15,Completed
47546,1,Y059902,Y059902 [SUPPORTING BLOCK],1,275.00,2018-09-18,Completed
47546,2,Y059903,Y059903 [ GUIDE],2,120.00,2018-09-18,Completed
47546,3,492V7804,492V7804 [COLLAR],4,75.00,2018-09-18,Completed
47546,4,Y098786,Y098786 [JOINT],2,185.00,2018-09-18,Completed
42358,1,Y026012,Y026012 [PLATE],1,62.00,2018-05-30,Completed
146116,1,408S3406,408S3406 [BUSHING FOR EJECTOR DC2500CS-2],16,310.00,2024-12-27,Completed
146116,2,H326958,H326958 [SEAT],1,2750.00,2024-12-27,Completed
146116,3,N073299,N073299 [POPPET],1,1825.00,2024-12-27,Completed
146116,4,N073298,N073298 [GUIDE DC2250CS2],1,1150.00,2024-12-27,Completed
146116,5,N073297,N073297 [PISTON ROD DC2250CS2],1,1225.00,2024-12-27,Completed
146116,6,Y102600,Y102600 [CAP],1,660.00,2024-12-27,Completed
55618,1,6W516901,6W516901 [BUSHING],4,125.00,2019-02-19,Completed
113895,1,Y028955,Y028955 [SHAFT],1,1065.00,2023-01-10,Completed
140573,1,637W9901,637W9901 [BRACKET],1,140.00,2024-08-30,Completed
140573,2,637W9902,637W9902 [BRACKET],1,140.00,2024-08-30,Completed
140573,3,H323581,H323581 [INJECTION BUSHING],2,1875.00,2024-08-30,Completed
140573,4,N017860,N017860[COVER],1,310.00,2024-08-30,Completed
140573,5,N019729,N019729 [SHAFT FOR DTO350SLH WRIST MOVEMENT],1,1525.00,2024-08-30,Completed
140573,6,Y006298,Y006298 [BEACASE],2,325.00,2024-08-30,Completed
140573,7,Y006502,Y006502 [SPACER],1,105.00,2024-08-30,Completed
140573,8,Y026064,Y026064[GUIDE SHAFT],2,90.00,2024-08-30,Completed
71037,1,625W1701,625W1701 [LINK PIN BUSHING],2,495.00,2019-12-31,Completed
71037,2,625W1702,625W1702 [LINK PIN BUSHING],1,395.00,2019-12-31,Completed
67655,1,N020152,N020152 [CYLINDER HOUSING],1,680.00,2019-10-23,Completed
135675,1,8X20BS,8X20BS [BRASS SCREWS],12,3.00,2024-05-14,Completed
135675,2,9X818209,9X818209 [TURN BUCKLE],1,395.00,2024-05-14,Completed
135675,3,H319551,H319551 [SEAT C2G16],1,2500.00,2024-05-14,Completed
135675,4,N054086,N054086 [SEAT C2G31 DC2250CS2],1,1845.00,2024-05-14,Completed
135675,5,N054087,N054087 [POPPET C2G31],1,1755.00,2024-05-14,Completed
135675,6,N054085,N054085 [PISTON HEAD],1,1250.00,2024-05-14,Completed
135675,7,N066879,N066879 [POPPET C2G16],1,1885.00,2024-05-14,Completed
135675,8,Y040402,Y040402 [LINER BRONZE DC350J],4,1250.00,2024-05-20,Completed
66577,1,685R1101,685R1101 [SUPPORT],4,148.00,2019-10-03,Completed
36426,1,N063996,N063996 [ROD JOINT] ,3,400.00,2018-02-19,Completed
22447,1,414S3701,414S3701 [SPROCKET, 414S3701],5,78.00,2017-05-26,Completed
22447,2,414S3501,414S3501 [SPROCKET],5,65.00,2017-05-26,Completed
131349,1,9X352701,9X352701 [FLANGE],3,500.00,2024-02-29,Completed
61387,1,Y078433,Y078433 [SPACER],1,45.00,2019-05-30,Completed
104537,1,609T6502,609T6502 [GLAND PACKING],2,405.00,2022-04-27,Completed
104537,2,646T2201,646T2201[BUSHING],2,430.00,2022-04-27,Completed
104537,3,613T0701,613T0701 [BUSHING],2,415.00,2022-04-27,Completed
140375,1,438S5702,438S5702[SPACER],2,295.00,2024-08-23,Completed
108319,1,388W45-12,388W45-12 [EJECTOR ROD SOLID TYPE FOR DC3500CS],2,1175.00,2022-08-02,Completed
108319,2,388W45-11,388W45-11 [EJECTOR ROD WIRE TYPE FOR DC3500CS],2,1475.00,2022-08-02,Completed
116127,1,N116121,N116121 [SEAL HOLDER],2,695.00,2023-03-03,Completed
134386,2,4T123401,4T123401 [LADLE PIN],1,60.00,2024-04-19,Completed
40375,1,654V2701,654V2701 [FLANGE ( B )],2,475.00,2018-04-24,Completed
40375,2,9X352701,9X352701 [FLANGE],2,475.00,2018-04-24,Completed
108494,1,N090933,N090933 [TIP JOINT],4,595.00,2022-08-17,Completed
108494,2,N090932,N090932 [PLUNGER TIP],4,995.00,2022-08-17,Completed
71143,1,9X818905,9X818905 [TIE BAR BUSHING DC800],8,675.00,2020-01-10,Completed
71143,2,9W306207,9W306207 [LINK PIN],2,525.00,2020-01-10,Completed
71143,3,9W306208,9W306208 [LINK PIN],2,525.00,2020-01-10,Completed
89820,1,Y132909,Y132909 [DOOR ROLLER],1,225.00,2021-04-07,Completed
27477,1,623T9801,623T9801 [PLUNGER ROD DC350CL-3],1,950.00,2017-08-14,Completed
64566,1,N02477G03,N02477G03 [GUIDE SHAFT],1,1550.00,2019-08-20,Completed
113275,1,637R3801,637R3801 [LEFT TURN BUCKLE],4,55.00,2022-12-23,Completed
87372,1,624T0004,624T0004 [SPACER] ,1,185.00,2021-02-16,Completed
42990,1,N048865,N048865 [INJECTION BUSHING],1,1885.00,2018-06-22,Completed
