PO_Number,Date,Vendor_Name,Description,Quantity
022420-01,2/24/2020,Belmont Plating,"PLEASE  RUSH   *** | Material :  4130  (26-38 Rc) | P/N 12281662 STUD  (REPEAT ITEM) | FINISH  : 1.9.2.3 OF MIL-STD-171 150 ea | EXCEPT .0003 IN THICK MIN, SUPPLEMENTARY CHROMATE TREATMENT | Cert Required Please",150
022520-01,2/25/2020,PRECISE ROTARY DIE,Y003572 PLATE 2ea X 45$/pcs | Y078814 SETTING PLATE 2ea x 85$/pcs | 9X090901 BLOCK 2ea x 375/pcs | Material  1018 or A36 for all items,2
022520-02,2/25/2020,PRECISE ROTARY DIE,680S8401 LS PLATE | 617V7701 LS PLATE | 617V7702 LS PLATE | 603S2801 DOG SHAFT  (1025 STEEL -CAN USE 1018 OR 1045 AN) | 611S4501 PLATE | 617V0601 JOINT PLATE,
022522-01,2/25/2022,"Expert Metal Finishing, Inc",P/N B1064-14 RING | Material 4340  44-47 Rc | Finish : BLACK OXIDE | CERTIFICATION REQUIRED,132
022619-01,2/26/2019,GENERAL  SURFACE  HARDENING,RUSH PLEASE | MATERIAL  : 420 SS | 2.25 in Diam x 8.3/8 3 ea 3 ea | Quench and Temper to 30 Rc +/- 2 | NO CERTS!,3
022619-01,2/26/2019,Belmont Plating,Material : 1018 | P/N N015624 FLANGE | NICKEL PLATING .0005 MAX .0007  ALL OVER PLEASE 1ea | NO CERTS,1
022620-01,2/26/2020,PRECISE ROTARY DIE,P/N  Y028949 SHAFT 1 ea | OD GRINDING to 40js6 (1.5751 // 1.5745 )  3 places 100/ea,1
022719-01,2/27/2019,Belmont Plating,"Material : 4140 | P/N 6289452 RETAINER | CAD PLATE   TYPE 1 , CLASS 3 85 ea | Cert Required Please",82
022720-01,2/27/2020,PRECISE ROTARY DIE,P/N  438S5701 SPACER 1 ea | PLEASE MAKE SIDE CHAMFERS .078 (2 mm) per print 100/ea | Also Thickness asking for 55 -.75 /-.80 | 54.25 /54.2  = (2.1358 / 2.1338)                                         2.1345 +/- .001 | NO RUSH ..I have till endof March | OD DIAM 99 mm  (3.898 in),1
022720-01,2/27/2020,PRECISE ROTARY DIE,P/N  438S5701 SPACER 1 ea | PLEASE MAKE SIDE CHAMFERS .078 (2 mm) per print 100/ea | Also Thickness asking for 55 -.75 /-.80 | 54.25 /54.2  = (2.1358 / 2.1338)                                         2.1345 +/- .001 | NO RUSH ..I have till endof March | OD DIAM 99 mm  (3.898 in),1
022720-02,2/27/2020,PRECISE ROTARY DIE,P/N N076372  PISTON | MATERIAL : 4140 AN 1 ea | 3 STEP  OD GRINDING | 35e7  ( 1.3760// 1.3755 //1.3750 ) 1.3755 +/- .0005 125/ea | 18e7  ( .7064 //.7060 .7057 ) .7060 +/- .0004 | 17.6 / 17.5  (.693  / .689 )   3.83 from small end only (CLEAN UP) .691+/- .001,1
022723-01,2/27/2023,MEXICALI HARD CHROME Co,MATERIAL  : 4140 AN | N079566 SLEEVE | METALIZE THE ID ONLY     .010-.012  In wall  (NOW @ about  8.786) | 350 +/- 50 and need .015 to .02 Wall,1
022818-02,2/28/2018,PRECISE ROTARY DIE,P/N 609T1002 | MATERIAL : 4140 - 50  Rc 6 ea | OD 50p6 ( 1.9702 // 1.9698 //1.9695) OD 1.9698  +/- .0003 40 /ea | ID 40F7  (1.5768// 1.5763 // 1.5758 )  @ 0.8 texture ID 1.5763  +/- .0003,6
022820-01,2/28/2020,PRECISE ROTARY DIE,P/N N045969  PISTON 1 ea | P/N N071870 PISTON 1 ea | 1 step Grinding after chrome | 25e7  ( .9827 //  .9819 )  for N045969 .9823 +/- .0004 25/ea | 18e7  (.7074 // .7067  ) for N071870 .7070 +/- .0004,1
022820-01,2/28/2020,PRECISE ROTARY DIE,P/N N045969  PISTON | MATERIAL : 4140 AN 1 ea | 3 STEP  OD GRINDING | 85e7  ( 3.3436 // 3.3429 // 3.3422 ) 3.3429 +/- .0005 125/ea | 25e7  ( .9817 // .9813 // .9810 ) .9813 +/- .0003 | 24.9 /24.8  (.980  / .977 )   X 4.51 FROMM SMALL END .9785   +/- .001,1
022820-01,2/28/2020,PRECISE ROTARY DIE,P/N N045969  PISTON 1 ea | P/N N071947 1 ea | 1 step Grinding after chrome | 25e7  ( .9827 //  .9819 )  for N045969 25/ea | 18e7  (.7074 // .7070  ) for N071870 .7074 /.7070,1
022823-01,2/28/2023,"NOVA CHROME Inc,",MATERIAL  :LMH0112 TIE BAR | PARTIAL HARD CHROME  PLATE ON THE YELLOW AREA ONLY   .0005 wall thick max 1ea | BETWEEN THE THREADS ONLY THE LARGE DIAM | No certs,1
022825-01,2/28/2025,PRECISE ROTARY DIE,MATERIAL  : 4140  PH  (P/N 637R3601 SHAFT)                                                          QTY: | 24.8 +/-0.1  MM           ( .9760 +/-.0035)     RIGHT SIDE KISS | 30js6 (1.1814 // 1.1811 // 1.1808) LEFT SIDE KISS                           1.1811 +/- .0004 | 22h6 (.8661 // .8659 // .8656 ) .8659 +/- .0002 | 20h6 (.7874 //.7871 //.7869 .7871 +/- .0003 | 43 +/- .1    (1.695 // 1.690) JUST TOUCH                                             1.693 +/- .002,7
030125-01,3/1/2025,PRECISE ROTARY DIE,P/N Y006969 1 ea | MATERIAL : 4140  30 Rc | OD  50 mm -.04/-.06 (1.9665 +/-.0004) 85 / ea,1
030218-01,3/2/2018,PRECISE ROTARY DIE,P/N 9W306301 LINK PIN | MATERIAL : H13 -45 Rc 8 ea | OD 75f6 (2.9516 // 2.9512 //2.9508 ) @ 0.8 texture       ( 2.9512 +/- .0004 ) 70 / ea,8
030218-02,3/2/2018,PRECISE ROTARY DIE,P/N 9W306201 LINK PIN | MATERIAL : H13 -45 Rc 3ea | OD 40f6 (1.7538 // 1.5735 // 1.5732 @ 0.8 texture       ( 1.5735 +/- .0003 ) 50/ea,3
030220-01,3/2/2020,EAGLE GEAR & MANUF.,MATERILA 4140 PH  (28-32 Rc) | P/N 698T6001 SPLINED SHAFT  (8 KEYS) 38 x 32 x 6 1ea | P/N 698T6001 SPLINED SHAFT  (4 KEYS) 38 x 32 x 6 1ea | OD : 38d9  (37.92 /37.88 mm diam) (1.4929 // 1.4914  in) (for ref :will grind after) | Lower diam  : | 32f7   (31.975 // 31.950 mm) (1.2589 // 1.2579 in ) | ASAP PLEASE : | Please quote so I can have check ready for COD,1
030220-01,3/2/2020,MEXICALI HARD CHROME Co,N076372 -PISTON ROD 1ea | LOCAL  HARD CHROME ON THE SMALL DIAM ONLY OF 18e7  (PER PRINT ) | N045969 -PISTON ROD 1ea | LOCAL  HARD CHROME ON THE SMALL DIAM ONLY OF 25e7  (PER PRINT ),2
030220-03,3/2/2020,DELTA GRINDING,9377056 PIN GROOVED | Need OD Grinding  TO .2497 // .2495 | Please make them by tomorrow :have to passivate and deliver tomorrow,220
030220-04,3/2/2020,Precise Finishing Co,"Material  303 SS | P/N 9677056  PIN GROOVED REV B | FINISH  5.4.1 of MIL-STD 171 | 5.4.1 Clean and passivate, AMS 2700 or ASTM A967 (clean ASTM A380) 220 pcs",220
030223-01,3/2/2023,"ADVANCED CUSTOM METALS, Inc.",P/N N105154 BRACKET | Material 1018 2 ea | Please bend 2 x 90 Deg per drawing with 10 mm (can be 3/8  Inside radous 2 Pl),2
030317-01,3/3/2017,PRECISE ROTARY DIE,"MATERIAL  : 1045 (28RC) 2 ea | H325305 PLATE 150/ ea | NOTE: ONE PLATE HAVE  A BLACK CORNER -PLEASE GRIND THAT 1ST TILL IS CLEAN | PLEASE GRIND ABOUT .007/.008 IN FROM THE SIDE MARKED  ""UP 1ST"" (2nd plate) | FINISH DIM :  1.180  +/- .0007 IN  @ 0.8 SURFACE TEXTURE",2
030318-01,3/3/2018,GENERAL  SURFACE  HARDENING,MATERIAL  : H13 | P/N  N031989 7 ea | P/N  N049364 15ea | Quench and temper to 45 Rc (+/- 3) | NO CERTS!,22
030320-01,3/3/2020,PRECISE ROTARY DIE,P/N 680V8201 POPPET | MATERIAL : 4130 - 56 Rc (61 Rc) 4 ea | 35f7    (1.3770 // 1.3765 // 1.3760 ) 1.3765 +/- .0005 125/ea | 74.4h7 (2.9291 / 2.928)                                               2.9285 +/- .0005 | 64.990 /64.985  (2.5586 // 2.5584 )                            (  2.5585 +/- .0001 ) | 1.6 Finish  Texture for all,4
030320-02,3/3/2020,PRECISE ROTARY DIE,9X061001  FLANGE | N069341 CYLINDER BASE | N069342 CYLINDER BASE | Material  1018 or A36 for all items,
030321-01,3/3/2021,PRECISE ROTARY DIE,P/N N013391 SHAFT (4 step grinding) | Material H13 -52 Rs 8 ea | 25e7 ( .9827 // .9823 // .9819 ) IN                          .9823 + /- .0004 | 30g6 ( 1.1808 // 1.1806 // 1.1803 )                          1.1806  +/- .0002 85/ ea | 28g6 (1.1021 // 1.1018 // 1.1016)                           1.1018    +/- .0002 | 20h6 (.7871 // .7869 // .7866 )                                .7869 +/- .0003 | 43 +/- .1  (1.695 //1.689)                                     1.692 +/- .003,8
030322-01,3/3/2022,PRECISE ROTARY DIE,P/N N054089 SLEEVE | MATERIAL : 4140 PH 2 ea | 4 step grinding | OD 75g6  (2.9524 // 2.9520 // 2.9516 )  @ 0.8 Texture 150/ea | OD 65g6  (2.5587 // 2.5583 // 2.5579 )  @ 0.8 Texture  0.0002 CONCENTRIC WITH 75g6 | ID 43H6 (1.6935 // 1.6932 // 1.6929 )  @ 0.4 Texture                            1.6932   +/- .0003 | ID 35 MM  (1.379 // 1.3780 // 1.377)  @ 0.8 Texture,2
030419-01,3/3/2019,PRECISE ROTARY DIE,MATERIAL  : 4140  PH  (P/N 637R3601 SHAFT) | 24.8 +/-0.1  MM           ( .9760 +/-.0035)     RIGHT SIDE KISS 10 pcs | 30js6 (1.1814 // 1.1811 // 1.1808) LEFT SIDE KISS                           1.1811 +/- .0004 | 22h6 (.8661 // .8659 // .8656 ) .8659 +/- .0002 45/ea | 20h6 (.7874 //.7871 //.7869 .7871 +/- .0003 | 43 +/- .1    (1.695 // 1.690)                                                         1.693 +/- .002,10
030422-01,3/4/2022,PRECISE ROTARY DIE,P/N Y040407 SHAFT 1ea | MATERIAL :4140 PH | 35f7 (1.3760 // 1.3755 // 1.3750) 1.3755 +/- .0005,1
030424-01,3/7/2024,F & S Complete Grinding,P/N N019729 SHAFT (4 step OD Grinding) | MATERIAL : 4140 PH 2ea | 35f7 (1.3770 // 1.3765 // 1.3760)           1.3765 +/- .0005 | 30js6 (1.1814 // 1.1811 // 1.1808 )           1.1810 +/- .0005 | 25js6 (.9845 // .9843 // .9840 )              .9843 +/- .0003 | 12h7 (.4724 // .4721 // .4717 )                      .4720  +/- .0005,2
030424-01,3/24/2024,PRECISE ROTARY DIE,P/N N019729 SHAFT (4 step OD Grinding) | MATERIAL : 4140 PH 2ea | 35f7 (1.3770 // 1.3765 // 1.3760)           1.3765 +/- .0005 | 30js6 (1.1814 // 1.1811 // 1.1808 )           1.1810 +/- .0005 | 25js6 (.9845 // .9843 // .9840 )              .9843 +/- .0003 | 12h7 (.4724 // .4721 // .4717 )                      .4720  +/- .0005,2
030518-01,3/5/2018,DELTA GRINDING,9X941001  SHAFT | Need OD Grinding  TO 42 MM   +0 /-.05 mm 1ea | OD GRINDING TO 1.651  +/- .002  in,1
030521-01,3/5/2021,"Expert Metal Finishing, Inc",P/N :202259 Roller | MATERIAL  52100 & 60-65Rc | Ends are grinded (Please re do it  with no certs) 283 ea | Finish: | No certs for this one,283
030524-01,3/5/2024,F & S Complete Grinding,P/N Y006969 | MATERIAL : 4140  30 Rc | OD  50 mm -.04/-.06 (1.9669 // 1.9661,
030524-01,3/5/2024,PRECISE ROTARY DIE,P/N Y006969 | MATERIAL : 4140  30 Rc | OD  50 mm -.04/-.06 (1.9669 // 1.9661 Price /ea | 2nd  shaft just clean up the rust spots  (we will chrome plate ),
030619-01,3/6/2019,PRECISE ROTARY DIE,MATERIAL  : 4140  PH  (P/N- N038440 SHAFT) | 24e7 (.9433 // .9429 // .9425)                                                          0.9429  +/- .0004 | 16e7 (.6287 // .6283 // .6280) .6283 +/- .0003 90/ea,2
030624-01,3/6/2024,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  6R893601 PISTON | LOCAL CASE HARDENING  MIN   1/16 DEEP TO Rc 56 PER PRINT 3 ea | CASE HARDENING ON THE 7 and 2 GROOVED AREAS | Please test on the face only (minum or no  grinding  please) | NO CERTS!,3
030625-01,3/6/2025,Skild Plating Co.,"Material 304 SS | P/N 2600804 STUD 12 ea | PASSIVATION PER TIPE  I     (can be also II ,III ,or IV) | CERTIFICATION PLEASE",12
030717-01,3/7/2017,PRECISE ROTARY DIE,9W306305 PIN  NEW LOT (NO NEED TO MODIFIE THE CENTERS) | MATERIAL  H13 - 45 Rc 5 ea | 100f6 (3.9355 //3.9350 //3.9347 ) WITHIN .0005  CONCENTRIC WITH THE SLOT) | 3.9351 +/- .0004 125/ea | NEW LOT (JUST GRIND OD NO MORE ALIGNMENT WITH THE SLOT),5
030719-01,3/7/2019,GENERAL  SURFACE  HARDENING,MATERIAL  : 1045 | 5/8 DIAM X 41 In 3 ea 3 ea | Quench and Temper to 40 Rc +/- 2 | Please keep them together for straightness | NO CERTS!,3
030723-01,3/7/2023,PRECISE ROTARY DIE,P/N TMT0009 LINK PIN | MATERIAL : H13-40 Rc 2ea | OD GRINDING 75 /ea | OD 3.1483 // 3.1478 // 3.1472  @0.8 Texture 3.1478 +/- .0005,2
030723-02,3/7/2023,PRECISE ROTARY DIE,P/N TMT0008 LINK PIN | MATERIAL : H13-40 Rc 1ea | OD GRINDING | OD 5.5100  // 5.5095 // 5.5091  @0.8 Texture 5.5095 +/- .0004,1
030723-03,3/7/2023,PRECISE ROTARY DIE,P/N 396W7701 SHAFT | MATERIAL : 4140 PH 1ea | 60js6  =  (2.3626 // 2.3622 // 2.3618)in  (2.3622)  3 places | 28g6  = (1.10211 // 1.1018 // 1.1016)in   (1.1018)  small end 125/ea | No Shoulder touch please (both sides),1
030725-01,3/7/2025,"NOVA CHROME Inc,",MATERIAL   :L459974 BARREL END | CHROME PLATE ALL OVER .0003-.0004  THICK WALL 4 ea | No certs,4
030818-01,3/8/2018,Belmont Plating,Material : 1018 | P/N N015624 FLANGE | NICKEL PLATING .0005 MAX .0007  ALL OVER PLEASE 1ea | PER QUOTE BY ROY  $150  MIN. CHARGE | NO CERTS,1
030819-01,3/8/2019,PRECISE ROTARY DIE,MATERIAL  : 4140  PH  (P/N- H325385 SLEEVE) 1st of 2 | PLEASE INDICATE (AND PLACE STEADY REST)CLOSE TO GROOVES FOR ID GRINDING 1 ea | 165H8 (6.4985 // 6.4973 // 6.4961 )                                              6.4973 +/- .0010 | 158H7 (6.2220 // 6.2213 // 3.2205 ) @.0005 CONCENTRIC 6.2213 +/- .0007 500/ea | 230g6 (9.0545  // 9.0540 9.0534 ) @.0005 CONCENTRIC 9.054 +/- .0005,1
030821-01,3/8/2021,PRECISE ROTARY DIE,P/N N106850 POPPET | MATERIAL : 4130  Rc 2ea | 2 STEP GRINDING | ID 59H8  (2.3246 // 2.3237 // 2.3228)  X .79  (20 mm)DEEP  2.3237 +/- .0005  (6.3 Ra texture) 100/ ea | OD 69.90/69.88    (2.7519 // 2.7512)         @0.8 Ra Texture                 2.7515 +/- .0003,2
030821-02,3/8/2021,PRECISE ROTARY DIE,P/N 299X4701 VALVE BODY | MATERIAL : 4130  -56 Rc c 1 ea | 4 STEP GRINDING | 65 -.010/-.015    (2.5586 // 2.5584)  @ 0.8 Texture                                        2.5585 +/- .0001 200/ea | 30 -.04/-.05        (1.1795 // 1.1791)  on 2.76 In from End   @ 0.8 Texture    1.1793  +/- .0002 | 55 -.03 /-.049  (2.1642  // 2.1634 )  NO SIDE TOUCH  0.8 Ra 2.4638 +/- .0004 | 25 -.04/-.05   (.9826 // .9823  )              0.8 texture                                .9825 +/- .0002,1
030823-01,3/8/2023,Rockford Heat Treaters,MATERIAL  :H13  40-45Rc | P/N TMT0008 LINK PIN (5.5 X 29.9 ) 1ea | P/N TMT0009 LINK PIN (2.3/8 X 10.24 ) 2ea 2ea | PARTS ARE QUENCH AND TEMPERED  @ 40-45 Rc  now | Nitride Harden to MAX  if  possible  60  Rc at 1/32 in min deep) | NO CERTS JUST THE DELIVERY TICKET WITH THE TESTING RESULTS,3
030918-01,3/9/2018,BODYCOTE,MATERIAL  :H13 already q+t TO 45 Rc | P/N  9W306301 (2.95 X16) 30 Lbs ea 240 Lbs for 8 ea 8 ea | P/N 9W306201 (1.575x11) 6.5 Lbs ea 19 Lbs for 3 ea 3ea | ION NITRIDE .008 DEEP CASE HV 1100 ( 67Rc ) | Masking per dwg 9W306301 Yellow marked areas (Both ends and the key ) | also Masking per DWD 9W306201 (Yellow Mark bothh ends) | NO CERTS!,11
030918-02,3/9/2018,Rockford Heat Treaters,MATERIAL  :4140 -50 Rc | P/N 609T1001 BUSHING (12 ea) 12 ea | P/N 609T1002 BUSHING (4 ea) 4ea | PARTS ARE QUENCH AND TEMPERED  @ 50 Rc  now | Nitride Harden to MAX  if  possible (65 Rc at .006  to .01 in deep) | NO CERTS JUST THE DELIVERY TICKET WITH THE TESTING RESULTS,16
030920-01,3/9/2020,PRECISE ROTARY DIE,P/N Y003999 SPROCKET | MATERIAL : SPROCKET BLANK 5 ea | ID 28H7     (1.132 // 1.1028 // 1.1024 )  (28 MM REAMER) | 25 + 0/-.1   (THICKNESS)  .9842  / .9803 75/ea | KEYWAY  (8H7 x 3.3 )   .3156 /.3150    x .130 /.134 | 1.210 /1.214 MEASURED ACROS THE 28 mm REAMED HOLE | 28 MM REAMER INCLUDED-(PLEASE RETURN WITH THE SPROCKETS),5
030921-01,3/8/2021,PRECISE ROTARY DIE,P/N H331160 SLEEVE  (repeat item) | MATERIAL : 4140 PH (28 Rc) 1 ea | 3 STEP GRINDING | OD 110g6  (4.3300 // 4.3297 // 4.3294)  @ 0.8 Texture  (4.3297 +/- .0003) 200/ea | ID  70H8 ( 2.7577 // 2.7568 // 2.7559   @ 0.8 Texure    ( 2.7568 +/- .0005) | ID 63H6   ( 2.4811 // 2.4807 // 2.4803 ) @ 0.4 Texure    ( 2.4807 +/- .0004) | ALL OD AND ID CONCENTRIC WITHIN .0004 | please indicate OD for both ID concentricity!,1
031020-01,3/10/2020,"NOVA CHROME Inc,",MATERIAL  :603S2801 DOG SHAFT | .0010    HARD CHROME LOCALY ONLY ON THE 11.6 MM DIAM | No certs,1
031020-01,3/10/2020,Belmont Plating,"Material :  4130  (26-38 Rc) | P/N 12281662 STUD  (REPEAT ITEM) | FINISH  : 1.9.2.3 OF MIL-STD-171     (RACK) 330 ea | EXCEPT .0003 IN THICK MIN, SUPPLEMENTARY CHROMATE TREATMENT | Cert Required Please",330
031021-01,3/10/2021,Skild Plating Co.,"Material  1018 | P/N 12285188 PIN STRAIGHT Rev -C | Finish per 1.9.2.2  of Mil-STD-171 | ZN Plate ASTM B633  TYPE II  SC3 , 0.0005 in 1220 ea | With Supimentary chromate treatment  not bleatched  , Normal color | CERT REQUIRED PLEASE",1220
031022-01,3/10/2022,"NOVA CHROME Inc,",MATERIAL  :Y040407 SHAFT | PARTIAL HARD CHROME  LOCALLY ONLY .0005 wall 1ea | ONLY THE 35 MM Diam  (1.377) the grounded area (mark on the print) | No certs,1
031022-02,3/10/2022,PRECISE ROTARY DIE,P/N PUNCH DIE FOR 90 DEG BENDING 1ea | MATERIAL :4140 PH | local  flame harden to 50-55 Rc,1
031025-01,3/10/2025,Automatic Anodizing,"P/N 10932560 CLAMP,PANEL REV-C | Material -6061 T6 1375 ea | Finish :TYPE II  ,CLASS IA ,SPEC | MIL-DTL-5541 | NEED CERTIFICATION PLEASE !",1375
031120-01,3/11/2020,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  N106850 POPPET | ODAND END - LOCAL CASE HARDENING PER PRINT  TO 562 +/- 2 Rc  1/16 DEEP MIN 1 ea | NO CERTS!,1
031122-01,3/11/2022,Skild Plating Co.,Material  304 SS | P/N  10655477 TAB 1750 ea | PASSIVATE PER QQ -P-35 | CERT REQUIRED PLEASE,1750
031218-01,3/12/2018,PRECISE ROTARY DIE,P/N N031989 SHAFT (2 step grinding) | MATERIAL : H13 -45 Rc 7 ea | 25e7 mm (.9827 // .9823 // .9819 )                     .9823 +/- .0003 | 20g6 mm (.7871 // .7869 // .7866 )                      .7869  +/- .0002,7
031218-02,3/12/2018,PRECISE ROTARY DIE,P/N N049364 SHAFT (2 step grinding) | MATERIAL : H13 - 45 Rc 5 ea | 25e7 mm (.9827 // .9823 // .9819 )                     .9823 +/- .0003 | 20g6 mm (.7871 // .7869 // .7866 )                      .7869  +/- .0002,5
031218-03,3/12/2018,PRECISE ROTARY DIE,P/N Y020020 | MATERIAL :420 SS - 35 Rc 1 ea | 13f7 mm (.5112 // .5108 // .5105 ) .5108  +/- .0003,1
031218-04,3/12/2018,PRECISE ROTARY DIE,P/N Y027551 SHAFT | MATERIAL :420 SS - 35 Rc 1 ea | 13e7 mm (.5106 // .5102 // .5098) .5102  +/- .0003 | 18e7 mm (.7074  // .7070  // .7067) .7070  +/- .0003,1
031219-01,3/12/2019,PRECISE ROTARY DIE,MATERIAL  : 4140  PH  (P/N- H325385 SLEEVE) 1st of 2 | PLEASE INDICATE (AND PLACE STEADY REST)CLOSE TO GROOVES FOR ID GRINDING 1 ea | 165H8 (6.4985 // 6.4973 // 6.4961 )                                              6.4973 +/- .0010 | 158H7 (6.2220 // 6.2213 // 3.2205 ) @.0005 CONCENTRIC 6.2213 +/- .0007 500/ea | 230g6 (9.0545  // 9.0540 9.0534 ) @.0005 CONCENTRIC 9.0540 +/- .0005,1
031220-01,3/12/2020,PRECISE ROTARY DIE,P/N N071870  PISTON | MATERIAL : 4140 AN 1 ea | 3 STEP  OD GRINDING | 35e7  ( 1.3760// 1.3755 //1.3750 ) 1.3755 +/- .0005 125/ea | 18e7  ( .7064 //.7060 .7057 ) .7060 +/- .0004 | 17.6 / 17.5  (.693  / .689 )   7.62 from small end .691 +/- .001,1
031221-01,3/12/2021,PRECISE ROTARY DIE,P/N N054089 SLEEVE | MATERIAL : 4140 PH 1 ea | 4 step grinding | OD 75g6  (2.9524 // 2.9520 // 2.9516 )  @ 0.8 Texture 135/ea | OD 65g6  (2.5587 // 2.5583 // 2.5579 )  @ 0.8 Texture  0.0002 CONCENTRIC WITH 75g6 | ID 43H6 (1.6935 // 1.6932 // 1.6929 )  @ 0.4 Texture                            1.6932   +/- .0003 | ID 35 MM  (1.379 // 1.3780 // 1.377)  @ 0.8 Texture | Need 2 RUSH please,1
031320-01,3/13/2020,DELTA GRINDING,9377056 PIN GROOVED | Need OD Grinding  TO .2497 // .2495 | Please make them by tomorrow :have to passivate and deliver tomorrow,327
031320-01,3/13/2020,PRECISE ROTARY DIE,P/N H331160 SLEEVE | MATERIAL : 4140 PH (28 Rc) 1 ea | 3 STEP GRINDING | OD 110g6  (4.3300 // 4.3297 // 4.3294)  @ 0.8 Texture  (4.3297 +/- .0003) 250/ea | OD  70H8 ( 2.7577 // 2.7568 // 2.7559   @ 0.8 Texure    ( 2.7568 +/- .0005) | ID 63H6   ( 2.4811 // 2.4807 // 2.4803 ) @ 0.4 Texure    ( 2.4807 +/- .0004) | ALL OD AND ID CONCENTRIC WITHIN .0004,1
031320-02,3/13/2020,Precise Finishing Co,"Material  303 SS | P/N 9677056  PIN GROOVED REV B | FINISH  5.4.1 of MIL-STD 171 | 5.4.1 Clean and passivate, AMS 2700 or ASTM A967 (clean ASTM A380) 327 ea",327
031324-01,3/13/2024,Belmont Plating,P/N 12280536  PIN SHOULDER HEADLESS | Material 1018 86 ea | Finish:  1.9.2.3 OF MIL-STD-171  :EXCEPT  .0003 in THICK | WITH SUPPLEMENTARY CHROMATE TREATMENT TO BE  OLIVE DRAB IN COLOR | Certification required please,86
031324-02,3/13/2024,"Expert Metal Finishing, Inc",P/N :12282056 PIN SHOULDE HEADLESS | MATERIAL 1018 275 ea | PROTECTIV FINISH :  5.3.1.3 OF MIL-STD-171,275
031416-02,3/14/2016,PRECISE ROTARY DIE,MATERIAL  : 4140  AN 3 ea | H319551 TURNING 3 ea 250/ea | CLEAN ENDS TO 16.600 (JUST CLEAN CAREFULY PARTS ALMOST IN LENGTH) | DRILL AND ID TURN TO  4.600 /4.620 IN DIAM Equaly from both ends | OD 7.360  - 7.380 IN DIAM  .02 /.03  CHAMFER ALL OVER | ONE SLEEVE IT IS ALMOST IN SIZE 16.660 PLEWASE CLEAN CARFULY ONE SIDE | AND MARKS ARE OK (MY FINISH SIZE IT IS 16.540 AFTER HEAT TREATMENT),3
031418-01,3/14/2018,PRECISE ROTARY DIE,RUSH PLEASE (FOR TOMORROW IF POSSIBLE) | P/N 609T1001 | MATERIAL : 4140 - 50  Rc 12 ea | ID ONLY (About .001/.0015) | ID 75F7  (2.9551 // 2.9545 // 2.9539 )  @ 0.8 texture ID 2.9545 +/- .0004,12
031418-02,3/14/2018,PRECISE ROTARY DIE,P/N 609T1002 | MATERIAL : 4140 - 50  Rc 4 ea | ID ONLY (ABOUT .001/.002) | ID 40F7  (1.5768// 1.5763 // 1.5758 )  @ 0.8 texture ID 1.5763  +/- .0003,4
031419-01,3/14/2019,GENERAL  SURFACE  HARDENING,MATERIAL  : 1045 | P/N  Y096545 PLATE | QUENCH AND TEMPER TO 40 Rc  +/-2 | PLEASE TEST THE TOP SIDE CLOSE TO ONE OF THE CHAMFERS | NO CERTIFICATION,11
031419-01,3/14/2019,PRECISE ROTARY DIE,MATERIAL  :DOM TUBING | P/N 613T0501 SPACER 1 ea | 27.2 mm (1.071 +/- .002),55
031419-02,3/14/2019,DELTA GRINDING,Y067510 | Need OD Grinding  TO .4720 +/- .0003 22 ea | ON THE LONG SHAFT WITH GROOVE ONLY,22
031421-01,3/14/2022,PRECISE ROTARY DIE,"P/N H327209 EJECTOR ROD (MATERIAL DELIVERED BY ALRO) | MATERIAL :4140 PH 2ea | , MILL  DRILL AND G3/4x18mm deep /AND  20 mm x142 (5.6 in deep ream) | for G3/4 x .72 Deep drill 15/16 (.937 x  7/8 Deep) 2250/ea | MAKE -  58H7 (2.2846 -2.2835 x 15 mm deep .590 ) and forM58x3 THREAD (bore 2.165) | We provide the tools :58 X3 mm gage and Tap 58 x 3  /G3/4 TAP | 20 MM reamer, Also 2ea Rc1/2 Taps (Please drill .719 /.734 for 1/2 tap 200 RPM max) | Make the 4 FLATS of 94.85 mm  (3.735 +/- .01) x 50 MM x 3/16 Rad bottm",2
031521-01,3/15/2022,PRECISE ROTARY DIE,P/N N036470 GUIDE | MATERIAL :  DURABAR 1 ea | 110H7 (4.3321 // 4.3314// 4.3307 ) @.0005 conc with 30 MM 4.3314 +/- .0005 150/ea | 160g6 (6.2987 // 6.2982 // 6.2977 ) @.0005 conc with 30 MM 6.2982 +/- .0005 | ******PLEASE CLEAN SHARP EDGES IN THE GROOVES FOR 160g6 dia ****,1
031521-01,3/18/2021,PRECISE ROTARY DIE,P/N N106857 PISTON | MATERIAL : DURABAR 1 ea | 2 STEP GRINDING | OD 110g6  (4.3302 // 4.3298 // 4.3294)  @ 0.8 Texture  (4.3297 +/- .0003) 175/pcs | OD 85H7 ( 3.3478 // 3.3471 // 3.3465 )      & Texture 0.8                     3.3471 +/- .0005 | ALL OD AND ID CONCENTRIC WITHIN .0004 WITH .985 HOLE,1
